ksh_settlement_code,settlement_name,operator_id,network_operator,service_area_id,coverage_scope,usage_location_requirement,source_ids,evidence_status,status,notes
21847,Péteri,ELMU,ELMŰ Hálózati Kft.,ELMU:SERVICE_AREA,WHOLE_SETTLEMENT,NONE,SRC-B10-ELMU-M1-CANDIDATE-2025;SRC-B10-KSH-HNT-2025-SETTLEMENT-IDS;SRC-B10-KSH-HNT-2025-IRSZHNK-DERIVATION-2026,DER,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,P46 exact current M1/KSH join; DER currentness.
29601,Pilisborosjenő,ELMU,ELMŰ Hálózati Kft.,ELMU:SERVICE_AREA,WHOLE_SETTLEMENT,NONE,SRC-B10-ELMU-M1-CANDIDATE-2025;SRC-B10-KSH-HNT-2025-SETTLEMENT-IDS;SRC-B10-KSH-HNT-2025-IRSZHNK-DERIVATION-2026,DER,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,P46 exact current M1/KSH join; DER currentness.
07144,Piliscsaba,ELMU,ELMŰ Hálózati Kft.,ELMU:SERVICE_AREA,WHOLE_SETTLEMENT,NONE,SRC-B10-ELMU-M1-CANDIDATE-2025;SRC-B10-KSH-HNT-2025-SETTLEMENT-IDS;SRC-B10-KSH-HNT-2025-IRSZHNK-DERIVATION-2026,DER,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,P46 exact current M1/KSH join; DER currentness.
34148,Pilisjászfalu,ELMU,ELMŰ Hálózati Kft.,ELMU:SERVICE_AREA,WHOLE_SETTLEMENT,NONE,SRC-B10-ELMU-M1-CANDIDATE-2025;SRC-B10-KSH-HNT-2025-SETTLEMENT-IDS;SRC-B10-KSH-HNT-2025-IRSZHNK-DERIVATION-2026,DER,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,P46 exact current M1/KSH join; DER currentness.
14340,Pilisvörösvár,ELMU,ELMŰ Hálózati Kft.,ELMU:SERVICE_AREA,WHOLE_SETTLEMENT,NONE,SRC-B10-ELMU-M1-CANDIDATE-2025;SRC-B10-KSH-HNT-2025-SETTLEMENT-IDS;SRC-B10-KSH-HNT-2025-IRSZHNK-DERIVATION-2026,DER,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,P46 exact current M1/KSH join; DER currentness.
05290,Pilisszántó,ELMU,ELMŰ Hálózati Kft.,ELMU:SERVICE_AREA,WHOLE_SETTLEMENT,NONE,SRC-B10-ELMU-M1-CANDIDATE-2025;SRC-B10-KSH-HNT-2025-SETTLEMENT-IDS;SRC-B10-KSH-HNT-2025-IRSZHNK-DERIVATION-2026,DER,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,P46 exact current M1/KSH join; DER currentness.
11396,Pilisszentiván,ELMU,ELMŰ Hálózati Kft.,ELMU:SERVICE_AREA,WHOLE_SETTLEMENT,NONE,SRC-B10-ELMU-M1-CANDIDATE-2025;SRC-B10-KSH-HNT-2025-SETTLEMENT-IDS;SRC-B10-KSH-HNT-2025-IRSZHNK-DERIVATION-2026,DER,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,P46 exact current M1/KSH join; DER currentness.
18731,Pilisszentkereszt,ELMU,ELMŰ Hálózati Kft.,ELMU:SERVICE_AREA,WHOLE_SETTLEMENT,NONE,SRC-B10-ELMU-M1-CANDIDATE-2025;SRC-B10-KSH-HNT-2025-SETTLEMENT-IDS;SRC-B10-KSH-HNT-2025-IRSZHNK-DERIVATION-2026,DER,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,P46 exact current M1/KSH join; DER currentness.
08457,Pilisszentlászló,ELMU,ELMŰ Hálózati Kft.,ELMU:SERVICE_AREA,WHOLE_SETTLEMENT,NONE,SRC-B10-ELMU-M1-CANDIDATE-2025;SRC-B10-KSH-HNT-2025-SETTLEMENT-IDS;SRC-B10-KSH-HNT-2025-IRSZHNK-DERIVATION-2026,DER,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,P46 exact current M1/KSH join; DER currentness.
04905,Pócsmegyer,ELMU,ELMŰ Hálózati Kft.,ELMU:SERVICE_AREA,WHOLE_SETTLEMENT,NONE,SRC-B10-ELMU-M1-CANDIDATE-2025;SRC-B10-KSH-HNT-2025-SETTLEMENT-IDS;SRC-B10-KSH-HNT-2025-IRSZHNK-DERIVATION-2026,DER,WHOLE_SETTLEMENT_MEMBERSHIP_PROVEN,P46 exact current M1/KSH join; DER currentness.
