ksh_settlement_code,settlement_name
22664,Gyöngyösmellék
22673,Bonnya
22707,Főnyed
22734,Drávapalkonya
22761,Szekszárd
22822,Balatonszemes
22868,Kisbudmér
22947,Zalaszabar
22965,Kacorlak
22974,Lippó
23074,Horváthertelend
23092,Siójut
23126,Szentgyörgyvár
23144,Becsehely
23162,Bükkösd
23205,Siklósbodony
23296,Kapospula
23302,Gyenesdiás
23311,Pusztaszemes
23427,Hantos
23472,Somberek
23506,Piskó
23542,Magyarlukafa
23630,Mernye
23694,Sárbogárd
23764,Palé
23791,Kalaznó
23807,Somogyapáti
23898,Rezi
23904,Gyugy
23959,Mohács
23968,Teleki
24110,Zselickislak
24138,Rigyác
24192,Fácánkert
24226,Kovácshida
24262,Egeraracsa
24314,Csököly
24378,Bár
24387,Kisbajom
24402,Vékény
24411,Lengyel
24457,Bálványos
24493,Kisbárapáti
24536,Orci
24563,Tamási
24590,Zajk
24615,Tapsony
24624,Lovászhetény
24660,Pötréte
24712,Szilvás
24749,Baranyajenő
24776,Padár
24846,Heresznye
24855,Romonya
24873,Homokkomárom
24907,Balatonszárszó
24925,Bisse
24952,Vásárosbéc
24989,Decs
25025,Liszó
25043,Somogybükkösd
25052,Orosztony
25070,Somogyhatvan
25113,Tótszerdahely
25122,Zaláta
25140,Sárosd
25177,Magyarbóly
25210,Murakeresztúr
25247,Köblény
25274,Tolna
25292,Regenye
25344,Sárkeresztúr
25371,Magyaregres
25478,Oltárc
25511,Nemeskisfalud
25520,Nagyszakácsi
25539,Györe
25609,Nemessándorháza
25645,Sióagárd
25681,Cserénfa
25706,Szentbalázs
25821,Erdősmárok
25830,Hajmás
25867,Kaposhomok
25885,Dobri
26055,Hőgyész
26082,Cserdi
26134,Nagyvenyim
26222,Gadány
26268,Valkonya
26277,Bőszénfa
26301,Inke
26329,Nyugotszenterzsébet
26392,Pamuk
26408,Komló
26453,Kadarkút
26532,Böhönye
26578,Szigetvár
26639,Pusztaszentlászló
26675,Lengyeltóti
26727,Grábóc
26754,Rinyaszentkirály
26781,Várda
26842,Zselickisfalud
26994,Tótszentgyörgy
27021,Kisharsány
27067,Magyarsarlós
27164,Nagypeterd
27182,Nagykónyi
27270,Csömend
27368,Segesd
27401,Egyházaskozár
27465,Pusztaederics
27508,Szágy
27526,Miháld
27535,Somogysimonyi
27553,Pogányszentpéter
27614,Zimány
27702,Tékes
27711,Izmény
27766,Kisszékely
27784,Iharosberény
27863,Majs
27881,Hásságy
27933,Himesháza
27951,Tilaj
28024,Villány
28121,Drávacsepely
28167,Lovászi
28200,Ligetfalva
28264,Gadács
28273,Endrőc
28291,Lábod
28361,Potony
28404,Gyöngyfa
28510,Porrogszentpál
28529,Varga
28538,Vajszló
28574,Szabás
28608,Drávaszabolcs
28617,Drávacsehi
28662,Belecska
28723,Somogysárd
28741,Sellye
28778,Dióskál
28811,Kaposgyarmat
28857,Kutas
28909,Bátaapáti
28918,Egerág
28927,Nagytótfalu
28963,Somogyjád
29018,Pusztaszabolcs
29036,Mezőszilas
29063,Nagyberény
29124,Várong
29142,Somogyhárságy
29160,Páka
29197,Péterhida
29230,Dalmand
29337,Madocsa
29522,Molvány
29656,Pat
29683,Zalatárnok
29753,Magyaregregy
29762,Pettend
29780,Vízvár
29920,Maráza
29948,Ipacsfa
30030,Drávaszerdahely
30049,Besence
30067,Szentpéterfölde
30119,Berzence
30146,Szenyér
30289,Gyönk
30359,Gyulaj
30438,Görcsöny
30492,Mekényes
30562,Medina
30571,Gölle
30580,Somogyacsa
30614,Csarnóta
30757,Petrivente
30775,Hosszúvíz
30827,Kisberény
30836,Hosszúhetény
30854,Mezőcsokonya
30863,Ráksi
30933,Nagykanizsa
30951,Hegyhátmaróc
30960,Gyékényes
30997,Semjénháza
31060,Szava
31112,Pölöskefő
31121,Sántos
31185,Kisvejke
31219,Somogyaszaló
31291,Bocska
31343,Mosdós
31352,Darány
31389,Lothárd
31431,Husztót
31459,Tevel
31501,Dunaföldvár
31529,Kerecseny
31538,Sárszentágota
31644,Fiad
31714,Sósvertike
31741,Pacsa
31927,Beremend
31936,Illocska
32009,Szentdénes
32072,Teklafalu
32115,Ötvöskónyi
32142,Vindornyafok
32151,Bogád
32160,Sásd
32197,Újudvar
32267,Kilimán
32337,Baté
32355,Libickozma
32364,Nagylók
32373,Diósviszló
32416,Tengőd
32425,Peterd
32461,Szilvásszentmárton
32470,Somogybabod
32513,Pördefölde
32601,Somogytúr
32638,Tornyiszentmiklós
32647,Kerkateskánd
32674,Rinyakovácsi
32726,Kisrécse
32744,Tésenfa
32753,Dég
32780,Simonfa
32799,Barcs
32805,Nagykorpád
32841,Szentborbás
32850,Váralja
32902,Kehidakustány
32948,Nemesbük
33002,Bodolyabér
33057,Zics
33066,Ibafa
33084,Gordisa
33154,Bóly
33215,Kisnyárád
33233,Gödre
33288,Zalaszántó
33330,Lánycsók
33349,Mőcsény
33376,Miklósi
33394,Kapoly
33482,Sátorhely
33570,Pörböly
33613,Szentegát
33756,Máza
33765,Szászvár
33899,Nagydobsza
33905,Kisdobsza
33923,Mánfa
33932,Hobol
33987,Muraszemenye
34032,Szaporca
34041,Pálmajor
34193,Kaszó
34209,Kulcs
34236,Szántód
