type_id,building_group,dwelling_count_class,size_class,period_min,period_max,technology_class,external_wall_u_uninsulated_w_m2k,attic_ceiling_occurrence_pct,attic_ceiling_u_uninsulated_w_m2k,flat_roof_occurrence_pct,flat_roof_u_uninsulated_w_m2k,pitched_roof_occurrence_pct,pitched_roof_u_uninsulated_w_m2k,basement_ceiling_occurrence_pct,basement_ceiling_u_uninsulated_w_m2k,window_u_unreplaced_w_m2k,source_id,evidence_status
11,FAMILY_HOUSE,1_3,LT120,2006,,MASONRY,0.29,89.3,0.25,7.1,0.29,17.9,0.32,17.9,0.78,1.34,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,DER
12,FAMILY_HOUSE,1_3,GE120,2006,,MASONRY,0.36,91.7,0.23,16.7,0.18,41.7,0.27,0,0,1.42,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,DER
13,MULTI_DWELLING,4_9,UNSPECIFIED,,1944,MASONRY,1.09,93.7,0.87,5.6,1.09,20.3,0.43,25.5,1.18,2.75,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,DER
14,MULTI_DWELLING,4_9,UNSPECIFIED,1945,1989,MASONRY,1.25,85.7,0.97,20,0.64,14.3,,54.3,1.28,2.45,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,DER
15,MULTI_DWELLING,4_9,UNSPECIFIED,1990,2005,MASONRY,1.14,60.5,0.92,40.8,0.93,23.7,0.89,55.3,1,2.01,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,DER
16,MULTI_DWELLING,4_9,UNSPECIFIED,2006,,MASONRY,0.67,81.8,0.32,13.6,0.56,63.6,0.28,13.6,0.76,1.42,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,DER
17,MULTI_DWELLING,10_PLUS,UNSPECIFIED,,1944,MASONRY,0.35,81.8,0.19,45.5,0.24,72.7,0.18,27.3,0.53,2.64,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,DER
18,MULTI_DWELLING,10_PLUS,UNSPECIFIED,1945,1989,MASONRY,1.03,72.5,0.78,31,0.74,31.1,0.49,46.3,1,2.61,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,DER
19,MULTI_DWELLING,10_PLUS,UNSPECIFIED,,,INDUSTRIAL_BLOCK_OR_CAST_CONCRETE,1.23,81,0.7,23,1.05,20,0.59,90,0.79,2.66,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,DER
20,MULTI_DWELLING,10_PLUS,UNSPECIFIED,,1979,PANEL,1.27,28.5,0.91,70,0.97,10,0.33,67.7,1.08,3.05,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,DER
21,MULTI_DWELLING,10_PLUS,UNSPECIFIED,1980,1989,PANEL,1.26,4.6,0.69,96.6,0.77,3.4,0.35,51.7,1.2,2.55,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,DER
22,MULTI_DWELLING,10_PLUS,UNSPECIFIED,1990,2005,MASONRY,1.14,3.8,1.02,93.1,0.6,0.6,0.56,62.5,1.09,1.89,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,DER
23,MULTI_DWELLING,10_PLUS,UNSPECIFIED,2006,,MASONRY,0.96,12.4,0.62,84.3,0.52,11.2,0.33,65.2,1.2,1.4,SRC-B02-HU-CSOKNYAI-HOUSING-STOCK-DISSERTATION-2022,DER
