country,year,index,name,renovation_generation,building_categories_index,building_category,construction_period_start,construction_period_end,number_of_dwellings_per_building,number_of_buildings,dwelling_weight,areawindows,Htr_w,effective_window_u_w_m2k,stock_window_area_m2,stock_window_htr_w_per_k,model_reference_satisfied_1_10
HUN,2025,2116,SFHdh_1800_1944_Debrecen_ren3,UNKNOWN,2,SFH,1880,1944,1,148.225128174,148.225128174,32.1023826599,98.1193084717,3.0564494133,4758.37988281,14543.7470703,False
HUN,2025,2117,SFHdh_1800_1944_Debrecen_ren3,UNKNOWN,2,SFH,1880,1944,1,132.257385254,132.257385254,32.1023826599,105.618492126,3.29005146027,4245.77734375,13968.8251953,False
HUN,2025,2118,SFHdh_1800_1944_Debrecen_ren3,UNKNOWN,2,SFH,1880,1944,1,16.2083187103,16.2083187103,32.1023826599,82.8516769409,2.58085751534,520.325622559,1342.88635254,False
HUN,2025,2119,SFHdh_1800_1944_Debrecen_ren4,UNKNOWN,2,SFH,1880,1944,1,256.143249512,256.143249512,32.1023826599,127.913497925,3.98454833031,8222.80859375,32764.1796875,False
HUN,2025,2120,SFHdh_1800_1944_Debrecen_ren4,UNKNOWN,2,SFH,1880,1944,1,47.6062049866,47.6062049866,32.1023826599,77.5960769653,2.41714382172,1528.27258301,3694.0546875,False
HUN,2025,2121,SFHdh_1800_1944_Debrecen_ren4,UNKNOWN,2,SFH,1880,1944,1,47.9017601013,47.9017601013,32.1023826599,82.2684326172,2.56268930435,1537.76062012,3940.80273438,False
HUN,2025,2122,SFHdh_1800_1944_Debrecen_ren4,UNKNOWN,2,SFH,1880,1944,1,9.41265869141,9.41265869141,32.1023826599,74.8459777832,2.33147740364,302.168762207,704.499633789,False
HUN,2025,2123,SFHdh_1800_1944_Debrecen_ren5,UNKNOWN,2,SFH,1880,1944,1,1436.03796387,1436.03796387,32.1023826599,96.3983154297,3.0028398037,46100.2382812,138431.640625,False
HUN,2025,2124,SFHdh_1800_1944_Debrecen_ren5,UNKNOWN,2,SFH,1880,1944,1,191.229522705,191.229522705,32.1023826599,96.3983154297,3.0028398037,6138.92333984,18434.203125,False
HUN,2025,2125,SFHdh_1800_1944_Debrecen_ren5,UNKNOWN,2,SFH,1880,1944,1,221.686889648,221.686889648,32.1023826599,96.3983154297,3.0028398037,7116.67724609,21370.2421875,False
HUN,2025,2126,SFHdh_1800_1944_Debrecen_ren5,UNKNOWN,2,SFH,1880,1944,1,13.7601604462,13.7601604462,32.1023826599,83.0748519897,2.58780956268,441.733947754,1143.12329102,False
HUN,2025,2127,SFHdh_1800_1944_Debrecen_ren6,UNKNOWN,2,SFH,1880,1944,1,432.909301758,432.909301758,32.1023826599,75.5173339844,2.35239028931,13897.4199219,32692.15625,False
HUN,2025,2128,SFHdh_1800_1944_Debrecen_ren6,UNKNOWN,2,SFH,1880,1944,1,44.1180458069,44.1180458069,32.1023826599,75.5173339844,2.35239028931,1416.29443359,3331.67724609,False
HUN,2025,2129,SFHdh_1800_1944_Debrecen_ren6,UNKNOWN,2,SFH,1880,1944,1,55.4685058594,55.4685058594,32.1023826599,75.5173339844,2.35239028931,1780.67114258,4188.83349609,False
HUN,2025,2130,SFHdh_1800_1944_Debrecen_ren6,UNKNOWN,2,SFH,1880,1944,1,4.4522819519,4.4522819519,32.1023826599,74.169303894,2.31039881706,142.928863525,330.22265625,False
HUN,2025,3087,SFHdh_1800_1944_Debrecen_ren284,UNKNOWN,2,SFH,1880,1944,1,171.138885498,171.138885498,32.1023826599,100.441772461,3.12879490852,5493.96582031,17189.4921875,False
HUN,2025,3088,SFHdh_1800_1944_Debrecen_ren284,UNKNOWN,2,SFH,1880,1944,1,24.3793792725,24.3793792725,32.1023826599,100.441772461,3.12879490852,782.636169434,2448.70800781,False
HUN,2025,3089,SFHdh_1800_1944_Debrecen_ren284,UNKNOWN,2,SFH,1880,1944,1,27.9266605377,27.9266605377,32.1023826599,100.441772461,3.12879490852,896.512329102,2805.00317383,False
HUN,2025,3090,SFHdh_1800_1944_Debrecen_ren284,UNKNOWN,2,SFH,1880,1944,1,3.52368187904,3.52368187904,32.1023826599,82.8516769409,2.58085751534,113.118583679,291.942962646,False
HUN,2025,3091,SFHdh_1800_1944_Debrecen_ren285,UNKNOWN,2,SFH,1880,1944,1,81.1238250732,81.1238250732,32.1023826599,79.655166626,2.48128509521,2604.26806641,6461.93164062,False
HUN,2025,3092,SFHdh_1800_1944_Debrecen_ren285,UNKNOWN,2,SFH,1880,1944,1,8.37810707092,8.37810707092,32.1023826599,79.655166626,2.48128509521,268.957214355,667.35949707,False
HUN,2025,3093,SFHdh_1800_1944_Debrecen_ren285,UNKNOWN,2,SFH,1880,1944,1,10.5461425781,10.5461425781,32.1023826599,79.6498336792,2.48111915588,338.556304932,839.998474121,False
HUN,2025,3094,SFHdh_1800_1944_Debrecen_ren285,UNKNOWN,2,SFH,1880,1944,1,0.636483550072,0.636483550072,32.1023826599,74.8459777832,2.33147740364,20.4326381683,47.6382331848,False
